top - 01:55:04 up  1:00,  0 users,  load average: 1.67, 1.61, 1.31
Tasks: 327 total,   2 running, 247 sleeping,   0 stopped,   0 zombie
%Cpu(s): 29.9 us, 16.4 sy,  0.0 ni, 50.0 id,  3.7 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 16082196 total, 10305780 free,  2488192 used,  3288224 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used. 12771592 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   1024 65534     20   0  393224  12904  10564 S   0.0  0.1   0:00.08 udisksd
   1026 65534     20   0   16504   5812   5000 S   0.0  0.0   0:00.01 wpa_supp+
   1028 65534     20   0  101288   5532   4704 S   0.0  0.0   0:00.00 zed
   1036 65534     20   0    4288   1344   1204 S   0.0  0.0   0:00.00 atd
   1046 65534     20   0    7444    336      0 S   0.0  0.0   0:00.00 avahi-da+
   1085 65534     20   0  317976  12448  10528 S   0.0  0.1   0:00.09 ModemMan+
   1178 65534     20   0 2172192  47560  32976 S   0.0  0.3   0:01.91 containe+
   1179 65534     20   0  306992   7752   6600 S   0.0  0.0   0:00.02 lightdm
   1222 65534     20   0  245708  13348   9620 S   0.0  0.1   0:00.18 colord
   1231 65534     20   0   74472  15296  11960 S   0.0  0.1   0:00.03 cupsd
   1247 65534     20   0 1663948 120924  77776 S   0.0  0.8   1:17.60 Xorg
   1250 65534     20   0    8992   1056    968 S   0.0  0.0   0:00.00 agetty
   1272 65534     20   0 3006700  82068  53436 S   0.0  0.5   0:02.41 dockerd
   1277 65534     20   0   13092   2456   1972 S   0.0  0.0   0:00.04 kerneloo+
   1281 65534     20   0   13092    452      0 S   0.0  0.0   0:00.04 kerneloo+
   1315 65534     20   0  172624  11680  10112 S   0.0  0.1   0:00.03 cups-bro+
   1552 65534     20   0  242500   8912   7620 S   0.0  0.1   0:00.24 upowerd
   2033 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 iprt-VBo+
   2049 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 iprt-VBo+
   2663 65534     20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/+
   2917 65534     20   0 1238360  13936  10268 S   0.0  0.1   0:00.16 containe+
